timestamp,open,high,low,close,volume,symbol,daily_change,bullish_marubozu,bearish_marubozu,bullish_engulfing,bearish_engulfing,RSI,EMA_12,EMA_26,MACD,Signal_Line,trend,support,resistance,stop_loss,target,rrr,valid_rrr,valid_stock,expected_profit,expected_loss,profit_correct
2024-03-26,1427.2,1437.95,1422.15,1425.4,28422145.0,HDFC.NSE,-1.7999999999999545,False,False,False,True,78.72298138824905,1440.1653846153845,1441.5574074074073,-1.3920227920227717,-0.27840455840455436,Downtrend,1422.15,1450.75,1479.765,1422.15,0.059781109169502425,False,True,1.7784481549038802,-3.8140171180019644,False
2024-03-27,1423.55,1447.95,1421.25,1440.7,31084334.0,HDFC.NSE,17.15000000000009,False,False,True,False,71.95480734441426,1440.2476331360945,1441.4938957475993,-1.2462626115047897,-0.4719761690246015,Downtrend,1421.25,1450.75,1392.825,1450.75,0.2099216710182758,False,True,0.6975775664607451,3.323037412368987,False
2024-04-08,1554.95,1557.25,1541.55,1546.6,10241470.0,HDFC.NSE,-8.350000000000136,False,False,False,False,44.29737167814298,1489.9773659394743,1468.4246179528736,21.552747986600707,9.64864674645128,Uptrend,1421.25,1557.25,1588.395,1421.25,2.9991625792558843,True,True,0.688607267554642,-2.7023794129057332,True
2024-04-09,1554.85,1554.85,1540.3,1548.55,10942247.0,HDFC.NSE,-6.2999999999999545,False,False,False,False,45.181081897981514,1498.9885404103243,1474.359831437846,24.628708972478307,12.644659191656686,Uptrend,1421.25,1557.25,1588.395,1421.25,3.1948801606224086,True,True,0.5618158922863353,-2.5730522101320608,True
2024-04-10,1549.9,1549.9,1532.95,1536.35,13903700.0,HDFC.NSE,-13.550000000000182,False,False,False,False,44.591550906267216,1504.7364572702743,1478.9516957757833,25.784761494491022,15.272679652223554,Uptrend,1421.25,1557.25,1588.395,1421.25,2.2115476991065375,True,True,1.3603671038500402,-3.38757444592704,True
2024-04-16,1487.0,1512.9,1482.25,1509.25,10372443.0,HDFC.NSE,22.25,False,False,True,False,64.00617153213456,1505.689952037658,1484.8163006907796,20.873651346878432,18.744416533674812,Uptrend,1463.25,1557.25,1433.985,1557.25,0.63774662857902,False,True,3.180387609739937,4.986914030147431,True
2024-04-19,1486.55,1534.95,1480.25,1531.3,17288217.0,HDFC.NSE,44.75,False,False,True,False,40.40958878407743,1508.1993147725243,1488.9374320051263,19.261882767397992,18.800925314259324,Uptrend,1480.25,1557.25,1450.645,1557.25,0.32174074762878996,False,True,1.6946385424149446,5.2670933194018135,True
2024-04-29,1515.0,1534.45,1506.55,1529.5,18046675.0,HDFC.NSE,14.5,False,False,True,False,57.56371595455838,1512.5116612191882,1498.2855682837326,14.226092935455654,16.003734400117814,Downtrend,1480.25,1557.4,1450.645,1557.4,0.3538139623359341,False,True,1.8241255312193587,5.155606407322655,True
2024-05-02,1522.0,1537.0,1520.35,1532.25,16737503.0,HDFC.NSE,10.25,False,False,True,False,46.87237575575034,1516.5361598078212,1502.2976408468214,14.238518960999727,15.294517142696247,Downtrend,1480.25,1557.4,1450.645,1557.4,0.3081919000061281,False,True,1.6413770598792683,5.325828030673847,True
2024-05-03,1533.25,1540.6,1507.2,1519.6,15932621.0,HDFC.NSE,-13.650000000000091,False,False,False,True,51.50388718662409,1517.007519837387,1503.5792970803902,13.428222756996774,14.921258265556352,Downtrend,1480.25,1557.4,1588.5480000000002,1480.25,0.5707199628705651,False,True,2.487496709660449,-4.537246643853667,True
2024-05-07,1521.95,1524.05,1504.15,1506.15,14240301.0,HDFC.NSE,-15.799999999999955,False,False,False,True,55.786052141668875,1516.071656214934,1505.0777238343537,10.99393238058019,13.809776080865099,Downtrend,1503.25,1540.6,1571.412,1503.25,0.04443627225644469,False,True,2.2872887826577575,-4.3330345583109215,True
2024-05-13,1432.0,1459.8,1430.3,1455.25,13523601.0,HDFC.NSE,23.25,False,False,True,False,66.34285736056418,1485.8700717286806,1491.803887680466,-5.933815951785391,4.955375876949361,Downtrend,1426.8,1540.6,1398.264,1540.6,1.497736286105355,False,True,5.864971654354916,3.9158907404226153,True
2024-05-15,1459.7,1459.7,1435.8,1438.5,19465998.0,HDFC.NSE,-21.200000000000045,False,False,False,True,57.58103802864327,1475.3383353797065,1485.7392727027313,-10.400937323024891,-0.10589890004492175,Downtrend,1426.8,1540.6,1571.412,1426.8,0.08802816901408482,False,True,7.097671185262419,-9.239624608967677,True
2024-05-16,1446.05,1462.55,1435.5,1460.25,17472618.0,HDFC.NSE,14.200000000000045,False,False,True,False,62.14263710438421,1473.017053013598,1483.8511784284551,-10.834125414857226,-2.251544203007383,Downtrend,1426.8,1540.6,1398.264,1540.6,1.2962604459071367,False,True,5.502482451634988,4.24488957370314,True
2024-05-29,1518.0,1523.85,1501.25,1508.3,17573853.0,HDFC.NSE,-9.700000000000045,False,False,False,True,33.80612065438534,1495.1957772923845,1490.1117749668608,5.08400232552367,-1.5815982785240965,Uptrend,1435.5,1545.0,1575.9,1435.5,1.076923076923074,False,True,2.4332029437114664,-4.481867002585702,True
2024-06-03,1599.0,1599.0,1550.0,1572.2,36318628.0,HDFC.NSE,-26.799999999999955,False,False,False,False,21.922063309278656,1513.939999807084,1500.6055521951532,13.334447611930727,4.015429660486442,Uptrend,1448.15,1599.0,1630.98,1448.15,2.1104117046614497,True,True,1.7046177331128325,-3.7387100877750905,False
2024-06-07,1561.05,1584.35,1552.05,1573.35,18356108.0,HDFC.NSE,12.299999999999955,False,False,True,False,16.882265330242276,1530.3374579733031,1512.2719030451767,18.065554928126403,10.298796122876784,Uptrend,1454.0,1599.0,1424.92,1599.0,0.17280873138853411,False,True,1.630279340261232,9.434010232942438,True
2024-06-10,1574.0,1580.65,1557.6,1561.3,11227029.0,HDFC.NSE,-12.700000000000045,False,False,False,False,20.75524235076321,1535.1009259774103,1515.9036139307193,19.197312046690968,12.078499307639621,Uptrend,1454.0,1599.0,1630.98,1454.0,1.5398966704936834,True,True,2.414654454621152,-4.462947543713576,False
2024-06-12,1575.0,1588.3,1566.4,1574.15,19640218.0,HDFC.NSE,-0.849999999999909,False,False,False,False,22.52164883833234,1544.9746274749505,1523.571822642935,21.402804832015363,15.233911856765749,Uptrend,1454.0,1599.0,1630.98,1454.0,2.114200246348764,True,True,1.5786297366832835,-3.610202331416951,False
2024-06-13,1581.75,1585.7,1574.0,1580.75,12060096.0,HDFC.NSE,-1.0,False,False,False,False,30.447004161638645,1550.4785309403426,1527.807243187903,22.67128775243964,16.721387035900527,Uptrend,1454.0,1599.0,1630.98,1454.0,2.5233923949830768,True,True,1.1545152617428436,-3.1776055669777015,True
2024-06-14,1584.0,1599.0,1577.7,1596.9,12770277.0,HDFC.NSE,12.900000000000091,False,False,True,False,46.91957980046034,1557.620295411059,1532.925225173984,24.695070237075015,18.316123676135426,Uptrend,1454.0,1599.0,1424.92,1599.0,0.012210722176996796,False,True,0.13150479053164937,10.769616131254306,True
2024-06-20,1669.8,1681.45,1652.0,1669.35,20704371.0,HDFC.NSE,-0.4500000000000455,False,False,False,False,34.89618153434918,1593.3844393227673,1556.3540335997307,37.030405723036665,25.384441914773806,Uptrend,1546.6,1681.45,1715.0790000000002,1546.6,2.684292243434129,True,True,0.7248330188396763,-2.739329679216478,False
